year,rank,player,team,points,percentages,nazionality,role,age,rank_numeric,competitionTeam
1956,1st,Stanley Matthews,Blackpool,47.0,37.9,England,RW,41,1,Premier League
1956,2nd,Alfredo Di Stéfano,Real Madrid,44.0,35.48,Spain,SS,30,2,La Liga
1956,3rd,Raymond Kopa,Real Madrid,33.0,26.61,France,RW,25,3,La Liga
1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54,Spain,SS,31,1,La Liga
1957,2nd,Billy Wright,Wolverhampton Wanderers,19.0,15.45,England,CB,33,2,Premier League
1957,3rd,Duncan Edwards,Manchester United,16.0,13.01,England,LM,21,3,Premier League
1957,3rd,Raymond Kopa,Real Madrid,16.0,13.01,France,RW,26,3,La Liga
1958,1st,Raymond Kopa,Real Madrid,71.0,52.99,France,RW,27,1,La Liga
1958,2nd,Helmut Rahn,Rot-Weiss Essen,40.0,29.85,Germany,RW,29,2,Bundesliga
1958,3rd,Just Fontaine,Stade de Reims,23.0,17.16,France,CF,25,3,Ligue1
1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79,Spain,SS,33,1,La Liga
1959,2nd,Raymond Kopa,Real Madrid,42.0,28.77,France,RW,28,2,La Liga
1959,3rd,John Charles,Juventus,24.0,16.44,England,RB,28,3,Serie A
1960,1st,Luis Suárez Miramontes,Barcelona,54.0,43.55,Spain,CF,25,1,La Liga
1960,2nd,Ferenc Puskás,Real Madrid,37.0,29.84,Hungary,CF,33,2,La Liga
1960,3rd,Uwe Seeler,Hamburg,33.0,26.61,Germany,CF,24,3,Bundesliga
1961,1st,Omar Sívori,Juventus,46.0,42.59,Italy,SS,26,1,Serie A
1961,2nd,Luis Suárez Miramontes,Internazionale,40.0,37.04,Spain,CF,25,2,Serie A
1961,3rd,Johnny Haynes,Fulham,22.0,20.37,England,SS,27,3,Premier League
1962,1st,Josef Masopust,Dukla Prague,65.0,43.05,Czech Republic,CM,31,1,Admiral Bundesliga
1962,2nd,Eusébio,Benfica,53.0,35.1,Portugal,Defender,20,2,Primeira Liga
1962,3rd,Karl-Heinz Schnellinger,Köln,33.0,21.85,Germany,LB,23,3,Bundesliga
1963,1st,Lev Yashin,Dynamo Moscow,73.0,45.91,Russia,GK,34,1,Soviet Top League
1963,2nd,Gianni Rivera,Milan,53.0,33.33,Italy,AM,20,2,Serie A
1963,3rd,Jimmy Greaves,Tottenham Hotspur,33.0,20.75,England,CF,23,3,Premier League
1964,1st,Denis Law,Manchester United,61.0,42.96,Scotland,CF,24,1,Premier League
1964,2nd,Luis Suárez Miramontes,Internazionale,43.0,30.28,Spain,CF,25,2,Serie A
1964,3rd,Amancio,Real Madrid,38.0,26.76,Spain,RW,25,3,La Liga
1965,1st,Eusébio,Benfica,67.0,39.18,Portugal,Defender,23,1,Primeira Liga
1965,2nd,Giacinto Facchetti,Internazionale,59.0,34.5,Italy,LB,23,2,Serie A
1965,3rd,Luis Suárez Miramontes,Internazionale,45.0,26.32,Spain,CF,25,3,Serie A
1966,1st,Bobby Charlton,Manchester United,81.0,36.82,England,AM,29,1,Premier League
1966,2nd,Eusébio,Benfica,80.0,36.36,Portugal,Defender,24,2,Primeira Liga
1966,3rd,Franz Beckenbauer,Bayern Munich,59.0,26.82,Germany,SW,21,3,Bundesliga
1967,1st,Flórián Albert,Ferencvárosi TC,68.0,46.26,Hungary,CF,26,1,Nemzeti Bajnokság I
1967,2nd,Bobby Charlton,Manchester United,40.0,27.21,England,AM,30,2,Premier League
1967,3rd,Jimmy Johnstone,Celtic,39.0,26.53,Scotland,RW,23,3,Scottish Premiership
1968,1st,George Best,Manchester United,61.0,38.12,Northern Ireland,RW,22,1,Premier League
1968,2nd,Bobby Charlton,Manchester United,53.0,33.12,England,AM,31,2,Premier League
1968,3rd,Dragan Džajić,Red Star Belgrade,46.0,28.75,Serbia,LW,22,3,Prva Liga
1969,1st,Gianni Rivera,Milan,83.0,41.5,Italy,AM,26,1,Serie A
1969,2nd,Luigi Riva,Cagliari,79.0,39.5,Italy,CF,25,2,Serie A
1969,3rd,Gerd Müller,Bayern Munich,38.0,19.0,Germany,CF,24,3,Bundesliga
1970,1st,Gerd Müller,Bayern Munich,77.0,36.32,Germany,CF,25,1,Bundesliga
1970,2nd,Bobby Moore,West Ham United,70.0,33.02,England,CB,29,2,Premier League
1970,3rd,Luigi Riva,Cagliari,65.0,30.66,Italy,CF,26,3,Serie A
1971,1st,Johan Cruyff,Ajax,116.0,50.66,Netherlands,AM,24,1,Eredivisie
1971,2nd,Sandro Mazzola,Internazionale,57.0,24.89,Italy,SS,29,2,Serie A
1971,3rd,George Best,Manchester United,56.0,24.45,Northern Ireland,RW,25,3,Premier League
1972,1st,Franz Beckenbauer,Bayern Munich,81.0,33.89,Germany,SW,27,1,Bundesliga
1972,2nd,Gerd Müller,Bayern Munich,79.0,33.05,Germany,CF,27,2,Bundesliga
1972,2nd,Günter Netzer,Borussia Mönchengladbach,79.0,33.05,Germany,AM,28,2,Bundesliga
1973,1st,Johan Cruyff,Barcelona,96.0,51.34,Netherlands,AM,26,1,La Liga
1973,2nd,Dino Zoff,Juventus,47.0,25.13,Italy,GK,31,2,Serie A
1973,3rd,Gerd Müller,Bayern Munich,44.0,23.53,Germany,CF,28,3,Bundesliga
1974,1st,Johan Cruyff,Barcelona,116.0,45.31,Netherlands,AM,27,1,La Liga
1974,2nd,Franz Beckenbauer,Bayern Munich,105.0,41.02,Germany,SW,29,2,Bundesliga
1974,3rd,Kazimierz Deyna,Legia Warsaw,35.0,13.67,Poland,AM,27,3,Ekstraklasa
1975,1st,Oleg Blokhin,Dynamo Kyiv,122.0,63.87,Ukraine,SS,23,1,Soviet Top League
1975,2nd,Franz Beckenbauer,Bayern Munich,42.0,21.99,Germany,SW,30,2,Bundesliga
1975,3rd,Johan Cruyff,Barcelona,27.0,14.14,Netherlands,AM,28,3,La Liga
1976,1st,Franz Beckenbauer,Bayern Munich,91.0,41.74,Germany,SW,31,1,Bundesliga
1976,2nd,Rob Rensenbrink,Anderlecht,75.0,34.4,Netherlands,LW,29,2,Pro League
1976,3rd,Ivo Viktor,Dukla Prague,52.0,23.85,Czech Republic,GK,34,3,Admiral Bundesliga
1977,1st,Allan Simonsen,Borussia Mönchengladbach,74.0,34.42,Denmark,SS,25,1,Bundesliga
1977,2nd,Kevin Keegan,Hamburg,71.0,33.02,England,CF,26,2,Bundesliga
1977,3rd,Michel Platini,FC Nancy,70.0,32.56,France,AM,22,3,Ligue1
1978,1st,Kevin Keegan,Hamburg,87.0,39.91,England,CF,27,1,Bundesliga
1978,2nd,Hans Krankl,Barcelona,81.0,37.16,Austria,CF,25,2,La Liga
1978,3rd,Rob Rensenbrink,Anderlecht,50.0,22.94,Netherlands,LW,31,3,Pro League
1979,1st,Kevin Keegan,Hamburg,118.0,55.92,England,CF,28,1,Bundesliga
1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,52.0,24.64,Germany,CF,24,2,Bundesliga
1979,3rd,Ruud Krol,Ajax,41.0,19.43,Netherlands,LB,30,3,Eredivisie
1980,1st,Karl-Heinz Rummenigge,Bayern Munich,122.0,64.55,Germany,CF,25,1,Bundesliga
1980,2nd,Bernd Schuster,Barcelona,34.0,17.99,Germany,AM,21,2,La Liga
1980,3rd,Michel Platini,AS Saint-Étienne,33.0,17.46,France,AM,25,3,Ligue1
1981,1st,Karl-Heinz Rummenigge,Bayern Munich,106.0,50.72,Germany,CF,26,1,Bundesliga
1981,2nd,Paul Breitner,Bayern Munich,64.0,30.62,Germany,LB,30,2,Bundesliga
1981,3rd,Bernd Schuster,Barcelona,39.0,18.66,Germany,AM,22,3,La Liga
1982,1st,Paolo Rossi,Juventus,115.0,52.75,Italy,CF,26,1,Serie A
1982,2nd,Alain Giresse,Girondins de Bordeaux,64.0,29.36,France,AM,30,2,Ligue1
1982,3rd,Zbigniew Boniek,Juventus,39.0,17.89,Poland,AM,26,3,Serie A
1983,1st,Michel Platini,Juventus,110.0,68.32,France,AM,28,1,Serie A
1983,2nd,Kenny Dalglish,Liverpool,26.0,16.15,Scotland,SS,32,2,Premier League
1983,3rd,Allan Simonsen,Vejle Boldklub,25.0,15.53,Denmark,SS,31,3,Superliga
1984,1st,Michel Platini,Juventus,110.0,51.16,France,AM,29,1,Serie A
1984,2nd,Jean Tigana,Girondins de Bordeaux,57.0,26.51,France,CM,29,2,Ligue1
1984,3rd,Preben Elkjær,Hellas Verona,48.0,22.33,Denmark,CF,27,3,Serie A
1985,1st,Michel Platini,Juventus,127.0,52.05,France,AM,30,1,Serie A
1985,2nd,Preben Elkjær,Hellas Verona,71.0,29.1,Denmark,CF,28,2,Serie A
1985,3rd,Bernd Schuster,Barcelona,46.0,18.85,Germany,AM,26,3,La Liga
1986,1st,Igor Belanov,Dynamo Kyiv,84.0,40.98,Ukraine,CF,26,1,Soviet Top League
1986,2nd,Gary Lineker,Barcelona,62.0,30.24,England,CF,26,2,La Liga
1986,3rd,Emilio Butragueño,Real Madrid,59.0,28.78,Spain,CF,23,3,La Liga
1987,1st,Ruud Gullit,Milan,106.0,41.09,Netherlands,AM,25,1,Serie A
1987,2nd,Paulo Futre,Atlético Madrid,91.0,35.27,Portugal,LW,21,2,La Liga
1987,3rd,Emilio Butragueño,Real Madrid,61.0,23.64,Spain,CF,24,3,La Liga
1988,1st,Marco van Basten,Milan,129.0,49.24,Netherlands,CF,24,1,Serie A
1988,2nd,Ruud Gullit,Milan,88.0,33.59,Netherlands,AM,26,2,Serie A
1988,3rd,Frank Rijkaard,Milan,45.0,17.18,Netherlands,DM,26,3,Serie A
1989,1st,Marco van Basten,Milan,129.0,51.19,Netherlands,CF,25,1,Serie A
1989,2nd,Franco Baresi,Milan,80.0,31.75,Italy,SW,29,2,Serie A
1989,3rd,Frank Rijkaard,Milan,43.0,17.06,Netherlands,DM,27,3,Serie A
1990,1st,Lothar Matthäus,Internazionale,137.0,47.4,Germany,DM,29,1,Serie A
1990,2nd,Salvatore Schillaci,Juventus,84.0,29.07,Italy,CF,26,2,Serie A
1990,3rd,Andreas Brehme,Internazionale,68.0,23.53,Germany,LB,30,3,Serie A
1991,1st,Jean-Pierre Papin,Olympique de Marseille,141.0,52.81,France,CF,28,1,Ligue1
1991,2nd,Dejan Savićević,Red Star Belgrade,42.0,15.73,Montenegro,AM,25,2,Prva Liga
1991,2nd,Darko Pančev,Red Star Belgrade,42.0,15.73,North Macedonia,CF,26,2,Prva Liga
1991,2nd,Lothar Matthäus,Internazionale,42.0,15.73,Germany,DM,30,2,Serie A
1992,1st,Marco van Basten,Milan,98.0,42.42,Netherlands,CF,28,1,Serie A
1992,2nd,Hristo Stoichkov,Barcelona,80.0,34.63,Bulgaria,LW,26,2,La Liga
1992,3rd,Dennis Bergkamp,Ajax,53.0,22.94,Netherlands,SS,23,3,Eredivisie
1993,1st,Roberto Baggio,Juventus,142.0,54.83,Italy,SS,26,1,Serie A
1993,2nd,Dennis Bergkamp,Internazionale,83.0,32.05,Netherlands,SS,24,2,Serie A
1993,3rd,Eric Cantona,Manchester United,34.0,13.13,France,SS,27,3,Premier League
1994,1st,Hristo Stoichkov,Barcelona,210.0,46.15,Bulgaria,LW,28,1,La Liga
1994,2nd,Roberto Baggio,Juventus,136.0,29.89,Italy,SS,27,2,Serie A
1994,3rd,Paolo Maldini,Milan,109.0,23.96,Italy,LB,26,3,Serie A
1995,1st,George Weah,Milan,144.0,45.14,Liberia,CF,29,1,Serie A
1995,2nd,Jürgen Klinsmann,Bayern Munich,108.0,33.86,Germany,CF,31,2,Bundesliga
1995,3rd,Jari Litmanen,Ajax,67.0,21.0,Finland,AM,24,3,Eredivisie
1996,1st,Matthias Sammer,Borussia Dortmund,144.0,36.55,Germany,SW,29,1,Bundesliga
1996,2nd,Ronaldo,Barcelona,143.0,36.29,Portugal,CF,20,2,La Liga
1996,3rd,Alan Shearer,Newcastle United,107.0,27.16,England,CF,26,3,Premier League
1997,1st,Ronaldo,Internazionale,222.0,62.89,Portugal,CF,21,1,Serie A
1997,2nd,Predrag Mijatović,Real Madrid,68.0,19.26,Montenegro,CF,28,2,La Liga
1997,3rd,Zinedine Zidane,Juventus,63.0,17.85,France,AM,25,3,Serie A
1998,1st,Zinedine Zidane,Juventus,244.0,64.55,France,AM,26,1,Serie A
1998,2nd,Davor Šuker,Real Madrid,68.0,17.99,Croatia,CF,30,2,La Liga
1998,3rd,Ronaldo,Internazionale,66.0,17.46,Portugal,CF,22,3,Serie A
1999,1st,Rivaldo,Barcelona,219.0,50.11,Brazil,AM,27,1,La Liga
1999,2nd,David Beckham,Manchester United,154.0,35.24,England,CM,24,2,Premier League
1999,3rd,Andriy Shevchenko,Milan,64.0,14.65,Ukraine,CF,23,3,Serie A
2000,1st,Luís Figo,Real Madrid,197.0,42.55,Portugal,RW,28,1,La Liga
2000,2nd,Zinedine Zidane,Juventus,181.0,39.09,France,AM,28,2,Serie A
2000,3rd,Andriy Shevchenko,Milan,85.0,18.36,Ukraine,CF,24,3,Serie A
2001,1st,Michael Owen,Liverpool,176.0,40.93,England,CF,22,1,Premier League
2001,2nd,Raúl,Real Madrid,140.0,32.56,Spain,CB,24,2,La Liga
2001,3rd,Oliver Kahn,Bayern Munich,114.0,26.51,Germany,GK,32,3,Bundesliga
2002,1st,Ronaldo,Real Madrid,169.0,39.86,Portugal,CF,26,1,La Liga
2002,2nd,Roberto Carlos,Real Madrid,145.0,34.2,Brazil,LB,29,2,La Liga
2002,3rd,Oliver Kahn,Bayern Munich,110.0,25.94,Germany,GK,33,3,Bundesliga
2003,1st,Pavel Nedvěd,Juventus,190.0,43.08,Czech Republic,LM,31,1,Serie A
2003,2nd,Thierry Henry,Arsenal,128.0,29.02,France,CF,26,2,Premier League
2003,3rd,Paolo Maldini,Milan,123.0,27.89,Italy,LB,35,3,Serie A
2004,1st,Andriy Shevchenko,Milan,175.0,39.15,Ukraine,CF,28,1,Serie A
2004,2nd,Deco,Barcelona,139.0,31.1,Portugal,AM,27,2,La Liga
2004,3rd,Ronaldinho,Barcelona,133.0,29.75,Brazil,LW,24,3,La Liga
2005,1st,Ronaldinho,Barcelona,225.0,43.69,Brazil,LW,25,1,La Liga
2005,2nd,Frank Lampard,Chelsea,148.0,28.74,England,CM,27,2,Premier League
2005,3rd,Steven Gerrard,Liverpool,142.0,27.57,England,CM,25,3,Premier League
2006,1st,Fabio Cannavaro,Real Madrid,173.0,41.39,Italy,CB,33,1,La Liga
2006,2nd,Gianluigi Buffon,Juventus,124.0,29.67,Italy,GK,28,2,Serie A
2006,3rd,Thierry Henry,Arsenal,121.0,28.95,France,CF,29,3,Premier League
2007,1st,Kaká,Milan,444.0,45.49,Brazil,AM,25,1,Serie A
2007,2nd,Cristiano Ronaldo,Manchester United,277.0,28.38,Portugal,CF,22,2,Premier League
2007,3rd,Lionel Messi,Barcelona,255.0,26.13,Argentina,RW,20,3,La Liga
2008,1st,Cristiano Ronaldo,Manchester United,446.0,49.23,Portugal,CF,23,1,Premier League
2008,2nd,Lionel Messi,Barcelona,281.0,31.02,Argentina,RW,21,2,La Liga
2008,3rd,Fernando Torres,Liverpool,179.0,19.76,Spain,CF,24,3,Premier League
2009,1st,Lionel Messi,Barcelona,473.0,54.0,Argentina,RW,22,1,La Liga
2009,2nd,Cristiano Ronaldo,Real Madrid,233.0,26.6,Portugal,CF,24,2,La Liga
2009,3rd,Xavi,Barcelona,170.0,19.41,Spain,CM,29,3,La Liga
2010,1st,Lionel Messi,Barcelona,,22.65,Argentina,RW,23,1,La Liga
2010,2nd,Andrés Iniesta,Barcelona,,17.36,Spain,CM,26,2,La Liga
2010,3rd,Xavi,Barcelona,,16.48,Spain,CM,30,3,La Liga
2011,1st,Lionel Messi,Barcelona,,47.88,Argentina,RW,24,1,La Liga
2011,2nd,Cristiano Ronaldo,Real Madrid,,21.6,Portugal,CF,26,2,La Liga
2011,3rd,Xavi,Barcelona,,9.23,Spain,CM,31,3,La Liga
2012,1st,Lionel Messi,Barcelona,,41.6,Argentina,RW,25,1,La Liga
2012,2nd,Cristiano Ronaldo,Real Madrid,,23.68,Portugal,CF,27,2,La Liga
2012,3rd,Andrés Iniesta,Barcelona,,10.91,Spain,CM,28,3,La Liga
2013,1st,Cristiano Ronaldo,Real Madrid,,27.99,Portugal,CF,28,1,La Liga
2013,2nd,Lionel Messi,Barcelona,,24.72,Argentina,RW,26,2,La Liga
2013,3rd,Franck Ribéry,Bayern Munich,,23.36,France,LW,30,3,Bundesliga
2014,1st,Cristiano Ronaldo,Real Madrid,,37.66,Portugal,CF,29,1,La Liga
2014,2nd,Lionel Messi,Barcelona,,15.76,Argentina,RW,27,2,La Liga
2014,3rd,Manuel Neuer,Bayern Munich,,15.72,Germany,GK,28,3,Bundesliga
2015,1st,Lionel Messi,Barcelona,,41.33,Argentina,RW,28,1,La Liga
2015,2nd,Cristiano Ronaldo,Real Madrid,,27.76,Portugal,CF,30,2,La Liga
2015,3rd,Neymar,Barcelona,,7.86,Brazil,LW,23,3,La Liga
2016,1st,Cristiano Ronaldo,Real Madrid,745.0,59.17,Portugal,CF,31,1,La Liga
2016,2nd,Lionel Messi,Barcelona,316.0,25.1,Argentina,RW,29,2,La Liga
2016,3rd,Antoine Griezmann,Atlético Madrid,198.0,15.73,France,CF,25,3,La Liga
2017,1st,Cristiano Ronaldo,Real Madrid,946.0,47.85,Portugal,CF,32,1,La Liga
2017,2nd,Lionel Messi,Barcelona,670.0,33.89,Argentina,RW,30,2,La Liga
2017,3rd,Neymar,Paris Saint-Germain,361.0,18.26,Brazil,LW,25,3,Ligue1
2018,1st,Luka Modrić,Real Madrid,753.0,45.83,Croatia,CM,33,1,La Liga
2018,2nd,Cristiano Ronaldo,Juventus,476.0,28.97,Portugal,CF,33,2,Serie A
2018,3rd,Antoine Griezmann,Atlético Madrid,414.0,25.2,France,CF,27,3,La Liga
2019,1st,Lionel Messi,Barcelona,686.0,37.26,Argentina,RW,32,1,La Liga
2019,2nd,Virgil van Dijk,Liverpool,679.0,36.88,Netherlands,CB,28,2,Premier League
2019,3rd,Cristiano Ronaldo,Juventus,476.0,25.86,Portugal,CF,34,3,Serie A
2021,1st,Lionel Messi,Barcelona,613.0,37.08,Argentina,RW,34,1,La Liga
2021,2nd,Robert Lewandowski,Bayern Munich,580.0,35.09,Poland,CF,33,2,Bundesliga
2021,3rd,Jorginho,Chelsea,460.0,27.83,Italy,DM,30,3,Premier League
2022,1st,Karim Benzema,Real Madrid,549.0,59.87,France,CF,35,1,La Liga
2022,2nd,Sadio Mané,Liverpool,193.0,21.05,Senegal,LW,30,2,Premier League
2022,3rd,Kevin De Bruyne,Manchester City,175.0,19.08,Belgium,AM,31,3,Premier League
2023,1st,Lionel Messi,Paris Saint-Germain,462.0,42.42,Argentina,RW,36,1,Ligue1
2023,2nd,Erling Haaland,Manchester City,357.0,32.78,Norway,CF,23,2,Premier League
2023,3rd,Kylian Mbappé,Paris Saint-Germain,270.0,24.79,France,CF,25,3,Ligue1
2024,1st,Rodri,Manchester City,1170.0,36.38,Spain,DM,28,1,Premier League
2024,2nd,Vinícius Júnior,Real Madrid,1129.0,35.11,Brazil,LW,24,2,La Liga
2024,3rd,Jude Bellingham,Real Madrid,917.0,28.51,England,AM,21,3,La Liga
