year,rank,player,team,points,percentages,nazionality,role,age,competitionTeam
1956,1st,Stanley Matthews,Blackpool,47.0,37.9,Inghilterra,RW,41,Premier League
1956,2nd,Alfredo Di Stéfano,Real Madrid,44.0,35.48,Spagna,SS,30,La Liga
1956,3rd,Raymond Kopa,Real Madrid,33.0,26.61,Francia,RW,25,La Liga
1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54,Spagna,SS,31,La Liga
1957,2nd,Billy Wright,Wolverhampton Wanderers,19.0,15.45,Inghilterra,CB,33,Premier League
1957,3rd,Duncan Edwards,Manchester United,16.0,13.01,Inghilterra,LM,21,Premier League
1958,1st,Raymond Kopa,Real Madrid,71.0,52.99,Francia,RW,27,La Liga
1958,2nd,Helmut Rahn,Rot-Weiss Essen,40.0,29.85,Germania,RW,29,Bundesliga
1958,3rd,Just Fontaine,Stade de Reims,23.0,17.16,Francia,CF,25,Ligue1
1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79,Spagna,SS,33,La Liga
1959,2nd,Raymond Kopa,Real Madrid,42.0,28.77,Francia,RW,28,La Liga
1959,3rd,John Charles,Juventus,24.0,16.44,Inghilterra,RB,28,Serie A
1960,1st,Luis Suárez Miramontes,Barcellona,54.0,43.55,Spagna,CF,25,La Liga
1960,2nd,Ferenc Puskás,Real Madrid,37.0,29.84,Ungheria,CF,33,La Liga
1960,3rd,Uwe Seeler,Hamburg,33.0,26.61,Germania,CF,24,Bundesliga
1961,1st,Omar Sívori,Juventus,46.0,42.59,Italia,SS,26,Serie A
1961,2nd,Luis Suárez Miramontes,Internazionale,40.0,37.04,Spagna,CF,25,Serie A
1961,3rd,Johnny Haynes,Fulham,22.0,20.37,Inghilterra,SS,27,Premier League
1962,1st,Josef Masopust,Dukla Prague,65.0,43.05,Repubblica Ceca,CM,31,Admiral Bundesliga
1962,2nd,Eusébio,Benfica,53.0,35.1,Portogallo,Defender,20,Primeira Liga
1962,3rd,Karl-Heinz Schnellinger,Köln,33.0,21.85,Germania,LB,23,Bundesliga
1963,1st,Lev Yashin,Dynamo Moscow,73.0,45.91,Russia,GK,34,Soviet Top League
1963,2nd,Gianni Rivera,Milan,53.0,33.33,Italia,AM,20,Serie A
1963,3rd,Jimmy Greaves,Tottenham Hotspur,33.0,20.75,Inghilterra,CF,23,Premier League
1964,1st,Denis Law,Manchester United,61.0,42.96,Scozia,CF,24,Premier League
1964,2nd,Luis Suárez Miramontes,Internazionale,43.0,30.28,Spagna,CF,25,Serie A
1964,3rd,Amancio,Real Madrid,38.0,26.76,Spagna,RW,25,La Liga
1965,1st,Eusébio,Benfica,67.0,39.18,Portogallo,Defender,23,Primeira Liga
1965,2nd,Giacinto Facchetti,Internazionale,59.0,34.5,Italia,LB,23,Serie A
1965,3rd,Luis Suárez Miramontes,Internazionale,45.0,26.32,Spagna,CF,25,Serie A
1966,1st,Bobby Charlton,Manchester United,81.0,36.82,Inghilterra,AM,29,Premier League
1966,2nd,Eusébio,Benfica,80.0,36.36,Portogallo,Defender,24,Primeira Liga
1966,3rd,Franz Beckenbauer,Bayern Munich,59.0,26.82,Germania,SW,21,Bundesliga
1967,1st,Flórián Albert,Ferencvárosi TC,68.0,46.26,Ungheria,CF,26,Nemzeti Bajnokság I
1967,2nd,Bobby Charlton,Manchester United,40.0,27.21,Inghilterra,AM,30,Premier League
1967,3rd,Jimmy Johnstone,Celtic,39.0,26.53,Scozia,RW,23,Scottish Premiership
1968,1st,George Best,Manchester United,61.0,38.12,Irlanda del Nord,RW,22,Premier League
1968,2nd,Bobby Charlton,Manchester United,53.0,33.12,Inghilterra,AM,31,Premier League
1968,3rd,Dragan Džajić,Red Star Belgrade,46.0,28.75,Serbia,LW,22,Prva Liga
1969,1st,Gianni Rivera,Milan,83.0,41.5,Italia,AM,26,Serie A
1969,2nd,Luigi Riva,Cagliari,79.0,39.5,Italia,CF,25,Serie A
1969,3rd,Gerd Müller,Bayern Munich,38.0,19.0,Germania,CF,24,Bundesliga
1970,1st,Gerd Müller,Bayern Munich,77.0,36.32,Germania,CF,25,Bundesliga
1970,2nd,Bobby Moore,West Ham United,70.0,33.02,Inghilterra,CB,29,Premier League
1970,3rd,Luigi Riva,Cagliari,65.0,30.66,Italia,CF,26,Serie A
1971,1st,Johan Cruyff,Ajax,116.0,50.66,Olanda,AM,24,Eredivisie
1971,2nd,Sandro Mazzola,Internazionale,57.0,24.89,Italia,SS,29,Serie A
1971,3rd,George Best,Manchester United,56.0,24.45,Irlanda del Nord,RW,25,Premier League
1972,1st,Franz Beckenbauer,Bayern Munich,81.0,33.89,Germania,SW,27,Bundesliga
1972,2nd,Gerd Müller,Bayern Munich,79.0,33.05,Germania,CF,27,Bundesliga
1972,3rd,Günter Netzer,Borussia Mönchengladbach,79.0,33.05,Germania,AM,28,Bundesliga
1973,1st,Johan Cruyff,Barcellona,96.0,51.34,Olanda,AM,26,La Liga
1973,2nd,Dino Zoff,Juventus,47.0,25.13,Italia,GK,31,Serie A
1973,3rd,Gerd Müller,Bayern Munich,44.0,23.53,Germania,CF,28,Bundesliga
1974,1st,Johan Cruyff,Barcellona,116.0,45.31,Olanda,AM,27,La Liga
1974,2nd,Franz Beckenbauer,Bayern Munich,105.0,41.02,Germania,SW,29,Bundesliga
1974,3rd,Kazimierz Deyna,Legia Warsaw,35.0,13.67,Polonia,AM,27,Ekstraklasa
1975,1st,Oleg Blokhin,Dynamo Kyiv,122.0,63.87,Ucraina,SS,23,Soviet Top League
1975,2nd,Franz Beckenbauer,Bayern Munich,42.0,21.99,Germania,SW,30,Bundesliga
1975,3rd,Johan Cruyff,Barcellona,27.0,14.14,Olanda,AM,28,La Liga
1976,1st,Franz Beckenbauer,Bayern Munich,91.0,41.74,Germania,SW,31,Bundesliga
1976,2nd,Rob Rensenbrink,Anderlecht,75.0,34.4,Olanda,LW,29,Pro League
1976,3rd,Ivo Viktor,Dukla Prague,52.0,23.85,Repubblica Ceca,GK,34,Admiral Bundesliga
1977,1st,Allan Simonsen,Borussia Mönchengladbach,74.0,34.42,Danimarca,SS,25,Bundesliga
1977,2nd,Kevin Keegan,Hamburg,71.0,33.02,Inghilterra,CF,26,Bundesliga
1977,3rd,Michel Platini,FC Nancy,70.0,32.56,Francia,AM,22,Ligue1
1978,1st,Kevin Keegan,Hamburg,87.0,39.91,Inghilterra,CF,27,Bundesliga
1978,2nd,Hans Krankl,Barcellona,81.0,37.16,Austria,CF,25,La Liga
1978,3rd,Rob Rensenbrink,Anderlecht,50.0,22.94,Olanda,LW,31,Pro League
1979,1st,Kevin Keegan,Hamburg,118.0,55.92,Inghilterra,CF,28,Bundesliga
1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,52.0,24.64,Germania,CF,24,Bundesliga
1979,3rd,Ruud Krol,Ajax,41.0,19.43,Olanda,LB,30,Eredivisie
1980,1st,Karl-Heinz Rummenigge,Bayern Munich,122.0,64.55,Germania,CF,25,Bundesliga
1980,2nd,Bernd Schuster,Barcellona,34.0,17.99,Germania,AM,21,La Liga
1980,3rd,Michel Platini,AS Saint-Étienne,33.0,17.46,Francia,AM,25,Ligue1
1981,1st,Karl-Heinz Rummenigge,Bayern Munich,106.0,50.72,Germania,CF,26,Bundesliga
1981,2nd,Paul Breitner,Bayern Munich,64.0,30.62,Germania,LB,30,Bundesliga
1981,3rd,Bernd Schuster,Barcellona,39.0,18.66,Germania,AM,22,La Liga
1982,1st,Paolo Rossi,Juventus,115.0,52.75,Italia,CF,26,Serie A
1982,2nd,Alain Giresse,Girondins de Bordeaux,64.0,29.36,Francia,AM,30,Ligue1
1982,3rd,Zbigniew Boniek,Juventus,39.0,17.89,Polonia,AM,26,Serie A
1983,1st,Michel Platini,Juventus,110.0,68.32,Francia,AM,28,Serie A
1983,2nd,Kenny Dalglish,Liverpool,26.0,16.15,Scozia,SS,32,Premier League
1983,3rd,Allan Simonsen,Vejle Boldklub,25.0,15.53,Danimarca,SS,31,Superliga
1984,1st,Michel Platini,Juventus,110.0,51.16,Francia,AM,29,Serie A
1984,2nd,Jean Tigana,Girondins de Bordeaux,57.0,26.51,Francia,CM,29,Ligue1
1984,3rd,Preben Elkjær,Hellas Verona,48.0,22.33,Danimarca,CF,27,Serie A
1985,1st,Michel Platini,Juventus,127.0,52.05,Francia,AM,30,Serie A
1985,2nd,Preben Elkjær,Hellas Verona,71.0,29.1,Danimarca,CF,28,Serie A
1985,3rd,Bernd Schuster,Barcellona,46.0,18.85,Germania,AM,26,La Liga
1986,1st,Igor Belanov,Dynamo Kyiv,84.0,40.98,Ucraina,CF,26,Soviet Top League
1986,2nd,Gary Lineker,Barcellona,62.0,30.24,Inghilterra,CF,26,La Liga
1986,3rd,Emilio Butragueño,Real Madrid,59.0,28.78,Spagna,CF,23,La Liga
1987,1st,Ruud Gullit,Milan,106.0,41.09,Olanda,AM,25,Serie A
1987,2nd,Paulo Futre,Atlético Madrid,91.0,35.27,Portogallo,LW,21,La Liga
1987,3rd,Emilio Butragueño,Real Madrid,61.0,23.64,Spagna,CF,24,La Liga
1988,1st,Marco van Basten,Milan,129.0,49.24,Olanda,CF,24,Serie A
1988,2nd,Ruud Gullit,Milan,88.0,33.59,Olanda,AM,26,Serie A
1988,3rd,Frank Rijkaard,Milan,45.0,17.18,Olanda,DM,26,Serie A
1989,1st,Marco van Basten,Milan,129.0,51.19,Olanda,CF,25,Serie A
1989,2nd,Franco Baresi,Milan,80.0,31.75,Italia,SW,29,Serie A
1989,3rd,Frank Rijkaard,Milan,43.0,17.06,Olanda,DM,27,Serie A
1990,1st,Lothar Matthäus,Internazionale,137.0,47.4,Germania,DM,29,Serie A
1990,2nd,Salvatore Schillaci,Juventus,84.0,29.07,Italia,CF,26,Serie A
1990,3rd,Andreas Brehme,Internazionale,68.0,23.53,Germania,LB,30,Serie A
1991,1st,Jean-Pierre Papin,Olympique de Marseille,141.0,52.81,Francia,CF,28,Ligue1
1991,2nd,Dejan Savićević,Red Star Belgrade,42.0,15.73,Montenegro,AM,25,Prva Liga
1991,3rd,Darko Pančev,Red Star Belgrade,42.0,15.73,Macedonia del Nord,CF,26,Prva Liga
1992,1st,Marco van Basten,Milan,98.0,42.42,Olanda,CF,28,Serie A
1992,2nd,Hristo Stoichkov,Barcellona,80.0,34.63,Bulgaria,LW,26,La Liga
1992,3rd,Dennis Bergkamp,Ajax,53.0,22.94,Olanda,SS,23,Eredivisie
1993,1st,Roberto Baggio,Juventus,142.0,54.83,Italia,SS,26,Serie A
1993,2nd,Dennis Bergkamp,Internazionale,83.0,32.05,Olanda,SS,24,Serie A
1993,3rd,Eric Cantona,Manchester United,34.0,13.13,Francia,SS,27,Premier League
1994,1st,Hristo Stoichkov,Barcellona,210.0,46.15,Bulgaria,LW,28,La Liga
1994,2nd,Roberto Baggio,Juventus,136.0,29.89,Italia,SS,27,Serie A
1994,3rd,Paolo Maldini,Milan,109.0,23.96,Italia,LB,26,Serie A
1995,1st,George Weah,Milan,144.0,45.14,Liberia,CF,29,Serie A
1995,2nd,Jürgen Klinsmann,Bayern Munich,108.0,33.86,Germania,CF,31,Bundesliga
1995,3rd,Jari Litmanen,Ajax,67.0,21.0,Finlandia,AM,24,Eredivisie
1996,1st,Matthias Sammer,Borussia Dortmund,144.0,36.55,Germania,SW,29,Bundesliga
1996,2nd,Ronaldo,Barcellona,143.0,36.29,Portogallo,CF,20,La Liga
1996,3rd,Alan Shearer,Newcastle United,107.0,27.16,Inghilterra,CF,26,Premier League
1997,1st,Ronaldo,Internazionale,222.0,62.89,Portogallo,CF,21,Serie A
1997,2nd,Predrag Mijatović,Real Madrid,68.0,19.26,Montenegro,CF,28,La Liga
1997,3rd,Zinedine Zidane,Juventus,63.0,17.85,Francia,AM,25,Serie A
1998,1st,Zinedine Zidane,Juventus,244.0,64.55,Francia,AM,26,Serie A
1998,2nd,Davor Šuker,Real Madrid,68.0,17.99,Croazia,CF,30,La Liga
1998,3rd,Ronaldo,Internazionale,66.0,17.46,Portogallo,CF,22,Serie A
1999,1st,Rivaldo,Barcellona,219.0,50.11,Brasile,AM,27,La Liga
1999,2nd,David Beckham,Manchester United,154.0,35.24,Inghilterra,CM,24,Premier League
1999,3rd,Andriy Shevchenko,Milan,64.0,14.65,Ucraina,CF,23,Serie A
2000,1st,Luís Figo,Real Madrid,197.0,42.55,Portogallo,RW,28,La Liga
2000,2nd,Zinedine Zidane,Juventus,181.0,39.09,Francia,AM,28,Serie A
2000,3rd,Andriy Shevchenko,Milan,85.0,18.36,Ucraina,CF,24,Serie A
2001,1st,Michael Owen,Liverpool,176.0,40.93,Inghilterra,CF,22,Premier League
2001,2nd,Raúl,Real Madrid,140.0,32.56,Spagna,CB,24,La Liga
2001,3rd,Oliver Kahn,Bayern Munich,114.0,26.51,Germania,GK,32,Bundesliga
2002,1st,Ronaldo,Real Madrid,169.0,39.86,Portogallo,CF,26,La Liga
2002,2nd,Roberto Carlos,Real Madrid,145.0,34.2,Brasile,LB,29,La Liga
2002,3rd,Oliver Kahn,Bayern Munich,110.0,25.94,Germania,GK,33,Bundesliga
2003,1st,Pavel Nedvěd,Juventus,190.0,43.08,Repubblica Ceca,LM,31,Serie A
2003,2nd,Thierry Henry,Arsenal,128.0,29.02,Francia,CF,26,Premier League
2003,3rd,Paolo Maldini,Milan,123.0,27.89,Italia,LB,35,Serie A
2004,1st,Andriy Shevchenko,Milan,175.0,39.15,Ucraina,CF,28,Serie A
2004,2nd,Deco,Barcellona,139.0,31.1,Portogallo,AM,27,La Liga
2004,3rd,Ronaldinho,Barcellona,133.0,29.75,Brasile,LW,24,La Liga
2005,1st,Ronaldinho,Barcellona,225.0,43.69,Brasile,LW,25,La Liga
2005,2nd,Frank Lampard,Chelsea,148.0,28.74,Inghilterra,CM,27,Premier League
2005,3rd,Steven Gerrard,Liverpool,142.0,27.57,Inghilterra,CM,25,Premier League
2006,1st,Fabio Cannavaro,Real Madrid,173.0,41.39,Italia,CB,33,La Liga
2006,2nd,Gianluigi Buffon,Juventus,124.0,29.67,Italia,GK,28,Serie A
2006,3rd,Thierry Henry,Arsenal,121.0,28.95,Francia,CF,29,Premier League
2007,1st,Kaká,Milan,444.0,45.49,Brasile,AM,25,Serie A
2007,2nd,Cristiano Ronaldo,Manchester United,277.0,28.38,Portogallo,CF,22,Premier League
2007,3rd,Lionel Messi,Barcellona,255.0,26.13,Argentina,RW,20,La Liga
2008,1st,Cristiano Ronaldo,Manchester United,446.0,49.23,Portogallo,CF,23,Premier League
2008,2nd,Lionel Messi,Barcellona,281.0,31.02,Argentina,RW,21,La Liga
2008,3rd,Fernando Torres,Liverpool,179.0,19.76,Spagna,CF,24,Premier League
2009,1st,Lionel Messi,Barcellona,473.0,54.0,Argentina,RW,22,La Liga
2009,2nd,Cristiano Ronaldo,Real Madrid,233.0,26.6,Portogallo,CF,24,La Liga
2009,3rd,Xavi,Barcellona,170.0,19.41,Spagna,CM,29,La Liga
2010,1st,Lionel Messi,Barcellona,,22.65,Argentina,RW,23,La Liga
2010,2nd,Andrés Iniesta,Barcellona,,17.36,Spagna,CM,26,La Liga
2010,3rd,Xavi,Barcellona,,16.48,Spagna,CM,30,La Liga
2011,1st,Lionel Messi,Barcellona,,47.88,Argentina,RW,24,La Liga
2011,2nd,Cristiano Ronaldo,Real Madrid,,21.6,Portogallo,CF,26,La Liga
2011,3rd,Xavi,Barcellona,,9.23,Spagna,CM,31,La Liga
2012,1st,Lionel Messi,Barcellona,,41.6,Argentina,RW,25,La Liga
2012,2nd,Cristiano Ronaldo,Real Madrid,,23.68,Portogallo,CF,27,La Liga
2012,3rd,Andrés Iniesta,Barcellona,,10.91,Spagna,CM,28,La Liga
2013,1st,Cristiano Ronaldo,Real Madrid,,27.99,Portogallo,CF,28,La Liga
2013,2nd,Lionel Messi,Barcellona,,24.72,Argentina,RW,26,La Liga
2013,3rd,Franck Ribéry,Bayern Munich,,23.36,Francia,LW,30,Bundesliga
2014,1st,Cristiano Ronaldo,Real Madrid,,37.66,Portogallo,CF,29,La Liga
2014,2nd,Lionel Messi,Barcellona,,15.76,Argentina,RW,27,La Liga
2014,3rd,Manuel Neuer,Bayern Munich,,15.72,Germania,GK,28,Bundesliga
2015,1st,Lionel Messi,Barcellona,,41.33,Argentina,RW,28,La Liga
2015,2nd,Cristiano Ronaldo,Real Madrid,,27.76,Portogallo,CF,30,La Liga
2015,3rd,Neymar,Barcellona,,7.86,Brasile,LW,23,La Liga
2016,1st,Cristiano Ronaldo,Real Madrid,745.0,59.17,Portogallo,CF,31,La Liga
2016,2nd,Lionel Messi,Barcellona,316.0,25.1,Argentina,RW,29,La Liga
2016,3rd,Antoine Griezmann,Atlético Madrid,198.0,15.73,Francia,CF,25,La Liga
2017,1st,Cristiano Ronaldo,Real Madrid,946.0,47.85,Portogallo,CF,32,La Liga
2017,2nd,Lionel Messi,Barcellona,670.0,33.89,Argentina,RW,30,La Liga
2017,3rd,Neymar,Paris Saint-Germain,361.0,18.26,Brasile,LW,25,Ligue1
2018,1st,Luka Modrić,Real Madrid,753.0,45.83,Croazia,CM,33,La Liga
2018,2nd,Cristiano Ronaldo,Juventus,476.0,28.97,Portogallo,CF,33,Serie A
2018,3rd,Antoine Griezmann,Atlético Madrid,414.0,25.2,Francia,CF,27,La Liga
2019,1st,Lionel Messi,Barcellona,686.0,37.26,Argentina,RW,32,La Liga
2019,2nd,Virgil van Dijk,Liverpool,679.0,36.88,Olanda,CB,28,Premier League
2019,3rd,Cristiano Ronaldo,Juventus,476.0,25.86,Portogallo,CF,34,Serie A
2021,1st,Lionel Messi,Barcellona,613.0,37.08,Argentina,RW,34,La Liga
2021,2nd,Robert Lewandowski,Bayern Munich,580.0,35.09,Polonia,CF,33,Bundesliga
2021,3rd,Jorginho,Chelsea,460.0,27.83,Italia,DM,30,Premier League
2022,1st,Karim Benzema,Real Madrid,549.0,59.87,Francia,CF,35,La Liga
2022,2nd,Sadio Mané,Liverpool,193.0,21.05,Senegal,LW,30,Premier League
2022,3rd,Kevin De Bruyne,Manchester City,175.0,19.08,Belgio,AM,31,Premier League
2023,1st,Lionel Messi,Paris Saint-Germain,462.0,42.42,Argentina,RW,36,Ligue1
2023,2nd,Erling Haaland,Manchester City,357.0,32.78,Norvegia,CF,23,Premier League
2023,3rd,Kylian Mbappé,Paris Saint-Germain,270.0,24.79,Francia,CF,25,Ligue1
2024,1st,Rodri,Manchester City,1170.0,36.38,Spagna,DM,28,Premier League
2024,2nd,Vinícius Júnior,Real Madrid,1129.0,35.11,Brasile,LW,24,La Liga
2024,3rd,Jude Bellingham,Real Madrid,917.0,28.51,Inghilterra,AM,21,La Liga
